Players,AHLPPG,AHL FPG,AHL GP,NHL PPG,NHLFPG,NHL GP,WHLPPG,WHLFPG,WHL GP
Aaron Millar,0,0,0,0,0,0,0.816901408,0,142
Brady Mason,0,0,0,0,0,0,0.232394366,0.014084507,142
Cody Fowlie,0,0,0,0,0,0,0.387323944,0.014084507,142
David Stieler,0,0,0,0,0,0,0.563380282,0.007042254,142
Mike Muzechka,0,0,0,0,0,0,0.161971831,0.133802817,142
Mitch Maxwell,0,0,0,0,0,0,0.676056338,0.084507042,142
Robin Kovar,0,0,0,0,0,0,0.528169014,0.014084507,142
Tyler Swystun,0,0,0,0,0,0,0.492957746,0.014084507,142
Spencer Bennett,0.272727273,0,11,0,0,0,0.769230769,0.020979021,143
Chad Hinz,0.377005348,0.024064171,374,0,0,0,1.356643357,0.041958042,143
Brock Hirsche,0,0,0,0,0,0,0.377622378,0.034965035,143
Chris Stevens,0,0,0,0,0,0,0.699300699,0.13986014,143
Josh Fauth,0,0,0,0,0,0,0.048951049,0.181818182,143
Ladislav Scurko,0,0,0,0,0,0,0.664335664,0.006993007,143
Liam Darragh,0,0,0,0,0,0,0.125874126,0.118881119,143
Luke Fenske,0,0,0,0,0,0,0.174825175,0.06993007,143
Josh Olson,0.315352697,0.024896266,241,0.2,0,5,1.027777778,0.069444444,144
Brett Connolly,0,0,0,0.220588235,0,68,1.055555556,0,144
Shawn McNeil,0,0,1,0,0,0,1.472222222,0.013888889,144
Mark Santorelli,0.279569892,0,186,0,0,0,1.270833333,0,144
Ajay Baines,0.387096774,0.02764977,651,0,0,0,0.861111111,0.076388889,144
Brent Ottmann,0,0,0,0,0,0,0.291666667,0.006944444,144
Craig Priestlay,0,0,0,0,0,0,0.159722222,0.055555556,144
Daniel Volrab,0,0,0,0,0,0,0.527777778,0.020833333,144
Eric Felde,0,0,0,0,0,0,0.756944444,0.013888889,144
Ian Walterson,0,0,0,0,0,0,0.590277778,0.076388889,144
Jordan Martinook,0,0,0,0,0,0,0.638888889,0.048611111,144
Steve Wilejto,0,0,0,0,0,0,0.319444444,0.027777778,144
Todd Fiddler,0,0,0,0,0,0,0.458333333,0,144
Todd Hornung,0,0,0,0,0,0,0.513888889,0.159722222,144
Troy Bourke,0,0,0,0,0,0,0.701388889,0.020833333,144
Tyler Kizuik,0,0,0,0,0,0,0.152777778,0.027777778,144
Zach Franko,0,0,0,0,0,0,0.638888889,0,144
Cam Lilley,0,0,0,0,0,0,0.172413793,0.034482759,145
Derrick Pouliot,0,0,0,0,0,0,0.620689655,0.034482759,145
Kris Knoblauch,0,0,0,0,0,0,0.64137931,0.227586207,145
Curtis Huppe,0,0,0,0,0,0,0.904109589,0.04109589,146
Shawn Roed,0,0,0,0,0,0,0.910958904,0.034246575,146
Dallas Ehrhardt,0,0,0,0,0,0,0.31292517,0.068027211,147
Justin Kanigan,0,0,0,0,0,0,0.163265306,0.081632653,147
Luke Paulsen,0,0,0,0,0,0,0.244897959,0.013605442,147
Tyler Stahl,0,0,0,0,0,0,0.12244898,0.142857143,147
Mitch Versteeg,0,0,3,0,0,0,0.277027027,0.155405405,148
Darren Dietz,0,0,0,0,0,0,0.493243243,0.081081081,148
Linden Saip,0,0,0,0,0,0,0.364864865,0.114864865,148
Lukas Sutter,0,0,0,0,0,0,0.533783784,0.189189189,148
Harrison Ruopp,0,0,0,0,0,0,0.120805369,0.140939597,149
Brennan Sonne,0,0,0,0,0,0,0.194630872,0.288590604,149
Kevin Mackie,0,0,0,0,0,0,0.355704698,0.060402685,149
Sebastian Svendsen,0,0,0,0,0,0,0.536912752,0.026845638,149
Shayne Brown,0,0,0,0,0,0,0.161073826,0.060402685,149
Nick Tarnasky,0.330935252,0.237410072,139,0.12244898,0.159183673,245,0.526666667,0.1,150
Garrett Klotz,0.070967742,0.193548387,155,0,0,0,0.066666667,0.233333333,150
Blair Wentworth,0,0,0,0,0,0,0.093333333,0.093333333,150
Curtis Kelner,0,0,0,0,0,0,0.16,0.1,150
Garry Nunn,0,0,0,0,0,0,0.88,0,150
Jason Ertl,0,0,0,0,0,0,0.18,0.066666667,150
Brandon Lockerby,0,0,0,0,0,0,0.390728477,0,151
Levi Lind,0,0,0,0,0,0,0.19205298,0.099337748,151
Michal Polak,0,0,0,0,0,0,0.21192053,0.066225166,151
Ondrej Fiala,0,0,0,0,0,0,0.801324503,0,151
Radim Valchar,0,0,0,0,0,0,0.463576159,0,151
Steve McCarthy,0.360544218,0,147,0.182119205,0.013245033,302,0.842105263,0.059210526,152
Rick Kozak,0.2,0,5,0,0,0,0.427631579,0.157894737,152
Matt Schmermund,0,0,0,0,0,0,0.269736842,0.006578947,152
Paul Sohor,0,0,0,0,0,0,0.072368421,0.065789474,152
Kevin Saurette,0.148148148,0,27,0,0,0,0.294117647,0.019607843,153
Kurt Torbohm,0,0,0,0,0,0,0.117647059,0.026143791,153
Randy McNaught,0,0,1,0,0,0,0.175324675,0.220779221,154
Bjorn Svensson,0,0,0,0,0,0,0.590909091,0,154
Cody Hobbs,0,0,0,0,0,0,0.168831169,0.064935065,154
Randy King,0,0,0,0,0,0,0.24025974,0.116883117,154
Drydn Dow,0,0,0,0,0,0,0.193548387,0.006451613,155
Lane Werbowski,0,0,0,0,0,0,0.187096774,0.025806452,155
Mike Sauer,0.259887006,0.056497175,177,0.183673469,0.091836735,98,0.429487179,0.038461538,156
Chris Inglis,0,0,0,0,0,0,0.108974359,0.096153846,156
Reid Jackson,0,0,0,0,0,0,0.256410256,0.044871795,156
Steven Spencer,0,0,0,0,0,0,0.064102564,0.301282051,156
Tyler Vanscourt,0,0,0,0,0,0,0.358974359,0.038461538,156
Blair Betts,0.572222222,0,180,0.163522013,0,477,1.127388535,0.012738854,157
Colten Mayor,0,0,0,0,0,0,0.394904459,0.025477707,157
Jessey Astles,0,0,0,0,0,0,0.101910828,0.197452229,157
Josh Saywell,0,0,0,0,0,0,0.089171975,0.038216561,157
Justin Kirsch,0,0,0,0,0,0,0.675159236,0.006369427,157
Jan Fadrny,0.366666667,0.016666667,60,0,0,0,0.955696203,0.012658228,158
Regan Darby,0.024096386,0.180722892,83,0,0,0,0.227848101,0.246835443,158
Andy Rogers,0.084033613,0.025210084,119,0,0,0,0.132911392,0.037974684,158
Curtis Patterson,0,0,0,0,0,0,0.094936709,0.018987342,158
Jaynen Rissling,0,0,0,0,0,0,0.329113924,0.113924051,158
Partik Bhungal,0,0,0,0,0,0,0.056962025,0.189873418,158
Jamie Lundmark,0.744966443,0.033557047,298,0.33559322,0.030508475,295,1.358490566,0.056603774,159
Jyri Niemi,0.185185185,0,54,0,0,0,0.597484277,0.031446541,159
Brenden Silvester,0,0,0,0,0,0,0.194968553,0.025157233,159
Clayton Chartrand,0,0,0,0,0,0,0.270440252,0.157232704,159
Derek Werenka,0,0,0,0,0,0,0.333333333,0,159
Craig Brunel,0.106382979,0.372340426,94,0,0,0,0.26875,0.43125,160
Jonathan Webb,0,0,0,0,0,0,0.075,0.2125,160
Justin Palazzo,0,0,0,0,0,0,0.10625,0.15625,160
Colby Kulhanek,0,0,0,0,0,0,0.285714286,0.093167702,161
Jiri Jakes,0,0,0,0,0,0,0.689440994,0.01242236,161
Jordon Flodell,0,0,0,0,0,0,0.105590062,0.236024845,161
Tanner Muth,0,0,0,0,0,0,0.124223602,0.049689441,161
Tim Traber,0,0,0,0,0,0,0.155279503,0.217391304,161
Willy Glover,0,0,0,0,0,0,0.310559006,0.01242236,161
Curtis Kulchar,0,0,0,0,0,0,0.098765432,0.030864198,162
Danny Gayle,0,0,0,0,0,0,0.432098765,0.024691358,162
David Ullmann,0,0,0,0,0,0,0.271604938,0.043209877,162
Jarrett Smith,0.344262295,0.032786885,122,0,0,0,0.920245399,0.049079755,163
Adam Lowry,0,0,0,0,0,0,0.711656442,0.055214724,163
Bruce Harrison,0,0,0,0,0,0,0.226993865,0.18404908,163
David Linsley,0,0,0,0,0,0,0.147239264,0,163
David Rutherford,0,0,0,0,0,0,0.680981595,0.061349693,163
Mike Alexander,0,0,0,0,0,0,0.208588957,0.018404908,163
Colton Orr,0.065217391,0.456521739,92,0.052910053,0.272486772,378,0.170731707,0.329268293,164
Craig Cuthbert,0,0,0,0,0,0,0.12195122,0.030487805,164
Josh Maser,0,0,0,0,0,0,0.109756098,0.493902439,164
Liam Couture,0,0,0,0,0,0,0.097560976,0.12195122,164
Mark Hall,0,0,0,0,0,0,0.152439024,0.06097561,164
Mike Lee,0,0,0,0,0,0,0.335365854,0.207317073,164
Tyler Yaworski,0,0,0,0,0,0,0.152439024,0.18902439,164
Gilbert Brule,0.634146341,0.073170732,82,0.320945946,0.013513514,296,1.121212121,0.048484848,165
Ryley Grantham,0.078651685,0.292134831,89,0,0,0,0.296969697,0.218181818,165
Dustin Barker,0,0,0,0,0,0,0.272727273,0.006060606,165
Kirk Meaver,0,0,0,0,0,0,0.187878788,0,165
Mitch Chapman,0,0,0,0,0,0,0.139393939,0.121212121,165
Stefan Ulmer,0,0,0,0,0,0,0.56969697,0.012121212,165
Cale Jefferies,0,0,0,0,0,0,0.228915663,0.078313253,166
Dustin Kazak,0,0,0,0,0,0,0.180722892,0.018072289,166
Ryan Aasman,0,0,0,0,0,0,0.072289157,0.012048193,166
Scott Gabriel,0,0,0,0,0,0,0.102409639,0.253012048,166
Seth Swenson,0,0,0,0,0,0,0.228915663,0.030120482,166
Darren Reid,0.403940887,0.083743842,203,0.047619048,0.095238095,21,0.850299401,0.22754491,167
Robin Big Snake,0,0,2,0,0,0,0.293413174,0.341317365,167
Willie Coetzee,0.306818182,0.011363636,88,0,0,0,0.748502994,0.005988024,167
Cody Esposito,0,0,0,0,0,0,0.173652695,0.263473054,167
Daniel Bartek,0,0,0,0,0,0,0.562874251,0,167
Richard Kelly,0,0,0,0,0,0,0.365269461,0.02994012,167
Curt Gogol,0.188679245,0.396226415,53,0,0,0,0.154761905,0.267857143,168
Ryan Chieduch,0,0,0,0,0,0,0.083333333,0.142857143,168
Ryan Coghlan,0,0,0,0,0,0,0.196428571,0.06547619,168
Ryan Murray,0,0,0,0,0,0,0.619047619,0.017857143,168
Steve Makway,0,0,0,0,0,0,0.321428571,0.178571429,168
Zach Sim,0,0,0,0,0,0,0.196428571,0.023809524,168
Cody Beach,0,0,0,0,0,0,0.704142012,0.325443787,169
Darren Deschamps,0,0,0,0,0,0,0.136094675,0.059171598,169
David Robinson,0,0,0,0,0,0,0.26035503,0.106508876,169
Jagger Dirk,0,0,0,0,0,0,0.319526627,0.059171598,169
Joey Kornelsen,0,0,0,0,0,0,0.343195266,0.017751479,169
Patrick Kozyra,0,0,0,0,0,0,0.165680473,0.017751479,169
Zdenek Blatny,0.468277946,0.024169184,331,0.12,0,25,1.229411765,0.023529412,170
Dalibor Bortnak,0,0,0,0,0,0,0.582352941,0,170
Jesse Forsberg,0,0,0,0,0,0,0.264705882,0.194117647,170
Shawn Skolney,0,0,0,0,0,0,0.341176471,0.1,170
T.J. Mulock,0,0,0,0,0,0,0.435294118,0.011764706,170
Filip Novak,0.583673469,0.024489796,245,0,0,17,0.959064327,0.064327485,171
Tomas Vincour,0.424242424,0,66,0.169014085,0,71,0.719298246,0.023391813,171
Oliver Gabriel,0.090909091,0,11,0,0,0,0.637426901,0.070175439,171
Judd Blackwater,0.131578947,0.052631579,38,0,0,0,0.666666667,0.116959064,171
Bryce Lamb,0,0,0,0,0,0,0.292397661,0.029239766,171
Chris de la Lande,0,0,0,0,0,0,0.233918129,0.005847953,171
Diarmuid Kelly,0,0,0,0,0,0,0.321637427,0.058479532,171
Josh Caron,0,0,0,0,0,0,0.128654971,0.245614035,171
Nathan Burns,0,0,0,0,0,0,0.391812865,0.01754386,171
Milan Kytnar,0.351648352,0.010989011,91,0,0,1,0.73255814,0.023255814,172
Wade Skolney,0.125806452,0.14516129,310,0,0,1,0.313953488,0.110465116,172
Ondrej Roman,0.267857143,0,112,0,0,0,0.813953488,0.005813953,172
Andrew Kaminsky,0,0,0,0,0,0,0.319767442,0.052325581,172
Blaine Tendler,0,0,0,0,0,0,0.26744186,0,172
Jesse Burt,0,0,0,0,0,0,0.139534884,0.023255814,172
Matt MacKay,0,0,0,0,0,0,0.819767442,0.029069767,172
Dale Weise,0.572164948,0.097938144,194,0.102564103,0.141025641,78,0.647398844,0.098265896,173
Scottie Upshall,0.967741935,0.016129032,62,0.457364341,0.002583979,387,1.306358382,0.011560694,173
B.J. Fehr,0,0,0,0,0,0,0.138728324,0.115606936,173
Brendan Hurley,0,0,0,0,0,0,0.138728324,0.167630058,173
Spencer Edwards,0,0,0,0,0,0,0.63583815,0.052023121,173
Tyrel Lucas,0,0,0,0,0,0,0.578034682,0.011560694,173
Jeremy Williams,0.798780488,0.012195122,328,0.34375,0,32,1.189655172,0.005747126,174
Derek Boogaard,0.075471698,0.452830189,53,0.057761733,0.223826715,277,0.120689655,0.402298851,174
Dallas Jackson,0.2,0,5,0,0,0,0.586206897,0.011494253,174
Brent Howarth,0,0,0,0,0,0,0.33908046,0.045977011,174
Dan Iwanski,0,0,0,0,0,0,0.316091954,0.022988506,174
Dustin Donaghy,0,0,0,0,0,0,0.218390805,0.132183908,174
Michael Kiesman,0,0,0,0,0,0,0.454022989,0.25862069,174
Mike Wilson,0.25,0.05,280,0.169154229,0.024875622,201,0.56,0.005714286,175
Stefan Schneider,0.139784946,0.010752688,93,0,0,0,0.245714286,0.034285714,175
Garry Toor,0,0,0,0,0,0,0.782857143,0.005714286,175
Jesse Dudas,0,0,0,0,0,0,0.531428571,0.028571429,175
Paul Hurd,0,0,0,0,0,0,0.308571429,0.114285714,175
Philip Tot,0,0,0,0,0,0,0.434285714,0.045714286,175
Tyler Fiddler,0,0,0,0,0,0,0.588571429,0.017142857,175
Jozef Balej,0.634361233,0.008810573,227,0.333333333,0,18,1.079545455,0.005681818,176
Michal Repik,0.748971193,0.008230453,243,0.277777778,0,72,0.954545455,0.022727273,176
Joey Bastien,0,0,0,0,0,0,0.903409091,0,176
Justin Lucyshyn,0,0,0,0,0,0,0.085227273,0.170454545,176
Markus McCrea,0,0,0,0,0,0,0.136363636,0.056818182,176
Matt Marantz,0,0,0,0,0,0,0.482954545,0.056818182,176
Mitch Holmberg,0,0,0,0,0,0,0.556818182,0,176
Jakub Cutta,0.144295302,0.030201342,298,0,0,8,0.186440678,0.02259887,177
Kyle Cumiskey,0.529411765,0,153,0.265151515,0,132,0.446327684,0.005649718,177
Trent Hunter,0.848484848,0.013468013,297,0.474849095,0.004024145,497,0.903954802,0.02259887,177
Andrew Rieder,0,0,0,0,0,0,0.288135593,0.028248588,177
Chris Harper,0,0,0,0,0,0,0.299435028,0.073446328,177
Dalyn Flatt,0,0,0,0,0,0,0.141242938,0.18079096,177
Darryl Moscaluk,0,0,0,0,0,0,0.192090395,0.084745763,177
Dylan Busenius,0,0,0,0,0,0,0.237288136,0.016949153,177
Matt Sommerfeld,0,0,0,0,0,0,0.146892655,0.514124294,177
Peter Kosterman,0,0,0,0,0,0,0.118644068,0.079096045,177
Taylor Makin,0,0,0,0,0,0,0.333333333,0.129943503,177
Travis Featherstone,0,0,0,0,0,0,0.152542373,0.02259887,177
Brett Bulmer,0.333333333,0,6,0.333333333,0,9,0.848314607,0.084269663,178
Pavel Brendl,0.66875,0,160,0.282051282,0,78,1.797752809,0.016853933,178
Tyler Bouck,0.404819277,0.062650602,415,0.131868132,0.098901099,91,0.825842697,0.162921348,178
Andre Blanchette,0,0,0,0,0,0,0.235955056,0.08988764,178
Craig Lineker,0,0,0,0,0,0,0.264044944,0.005617978,178
Mathieu Cusson,0,0,0,0,0,0,0.943820225,0.056179775,178
Matt Meropoulis,0,0,0,0,0,0,0.162921348,0.033707865,178
Tyler Wotherspoon,0,0,0,0,0,0,0.252808989,0.02247191,178
Masi Marjamaki,0.31372549,0.026143791,153,0,0,1,0.670391061,0.033519553,179
Denis Tolpeko,0.573170732,0.024390244,82,0.230769231,0,26,0.620111732,0.016759777,179
Rick Rypien,0.342592593,0.185185185,108,0.134453782,0.243697479,119,0.636871508,0.173184358,179
Shaone Morrisonn,0.296296296,0.037037037,216,0.15625,0.0125,480,0.458100559,0.033519553,179
Bretton Cameron,0.5,0,2,0,0,0,0.670391061,0.122905028,179
Chad Scharff,0,0,0,0,0,0,0.156424581,0.033519553,179
Jared Carli,0,0,0,0,0,0,0.17877095,0.078212291,179
Josh Cowen,0,0,0,0,0,0,0.268156425,0.173184358,179
Mikhail Fisenko,0,0,0,0,0,0,0.625698324,0.039106145,179
Scott McKay,0,0,0,0,0,0,0.240223464,0.072625698,179
Michael Grabner,0.666666667,0,180,0.545977011,0,174,0.716666667,0,180
Derek Dorsett,0.338028169,0.408450704,71,0.21875,0.22265625,256,0.711111111,0.233333333,180
Kurt Sauer,0,0,4,0.092436975,0.030812325,357,0.3,0.044444444,180
Cameron Abney,0,0.142857143,14,0,0,0,0.205555556,0.166666667,180
Anton Borodkin,0,0,0,0,0,0,0.511111111,0.038888889,180
Igor Revenko,0,0,0,0,0,0,0.75,0,180
Jordan Evans,0,0,0,0,0,0,0.211111111,0.016666667,180
Travis Churchman,0,0,0,0,0,0,0.227777778,0.472222222,180
Travis Hamonic,0.368421053,0.263157895,19,0.37037037,0.044444444,135,0.602209945,0.077348066,181
Travis Moen,0.071428571,0.142857143,84,0.187719298,0.114035088,570,0.320441989,0.165745856,181
Brad Erickson,0,0,0,0,0,0,0.348066298,0.022099448,181
Clay Plume,0,0,0,0,0,0,0.359116022,0.049723757,181
Cody Jensen,0,0,0,0,0,0,0.82320442,0.033149171,181
Dan Idema,0,0,0,0,0,0,0.17679558,0.060773481,181
Dominik Uher,0,0,0,0,0,0,0.79558011,0.077348066,181
Jeff Coulter,0,0,0,0,0,0,0.110497238,0.298342541,181
Jeff Katcher,0,0,0,0,0,0,0.359116022,0.160220994,181
Pierre-Paul Lamoureux,0,0,0,0,0,0,0.099447514,0.143646409,181
Riley McIntosh,0,0,0,0,0,0,0.093922652,0.038674033,181
Ryan Hanes,0,0,0,0,0,0,0.220994475,0.187845304,181
Ryan Menei,0,0,0,0,0,0,0.629834254,0.044198895,181
Alex Lentowich,0,0,0,0,0,0,0.208791209,0.120879121,182
Ashton Hewson,0,0,0,0,0,0,0.236263736,0.065934066,182
Chris Anderson,0,0,0,0,0,0,0.351648352,0.082417582,182
Donny Lloyd,0,0,0,0,0,0,0.115384615,0.087912088,182
Jordan Hale,0,0,0,0,0,0,0.137362637,0.142857143,182
Kris Mallette,0,0,0,0,0,0,0.175824176,0.406593407,182
MacKenzie Johnston,0,0,0,0,0,0,0.076923077,0.016483516,182
Myles MacRae,0,0,0,0,0,0,0.32967033,0.021978022,182
Mario Bliznak,0.331775701,0,214,0.166666667,0,6,0.513661202,0.005464481,183
D.J. King,0.173611111,0.201388889,144,0.093220339,0.279661017,118,0.469945355,0.218579235,183
Marek Viedensky,0.211538462,0,52,0,0,0,1.021857923,0.032786885,183
Brian Patterson,0,0,0,0,0,0,0.12568306,0.032786885,183
Chad Erb,0,0,0,0,0,0,0.18579235,0.191256831,183
Elgin Pearce,0,0,0,0,0,0,0.398907104,0.032786885,183
Josh Winquist,0,0,0,0,0,0,0.393442623,0.010928962,183
Ryon Moser,0,0,0,0,0,0,0.338797814,0,183
Jason MacDonald,0.348901099,0.252747253,364,0,0.25,4,0.173913043,0.010869565,184
Sean O'Connor,0.022727273,0.159090909,44,0,0,0,0.52173913,0.239130435,184
Nathan Forster,0.12195122,0.036585366,82,0,0,0,0.391304348,0.119565217,184
Igor Pohanka,0.422018349,0,109,0,0,0,0.940217391,0,184
Brad Riege,0,0,0,0,0,0,0.184782609,0.097826087,184
Braeden Laroque,0,0,0,0,0,0,0.10326087,0.010869565,184
Jon Barkman,0,0,0,0,0,0,0.951086957,0.027173913,184
Zach Yuen,0,0,0,0,0,0,0.402173913,0.010869565,184
Karel Mosovsky,0.147727273,0.022727273,176,0,0,0,0.864864865,0.021621622,185
Bobby Almeida,0,0,0,0,0,0,0.594594595,0.048648649,185
Brock Montgomery,0,0,0,0,0,0,0.383783784,0.113513514,185
Erik Bonsor,0,0,0,0,0,0,0.167567568,0,185
Klarc Wilson,0,0,0,0,0,0,0.335135135,0.194594595,185
Michael Ferland,0,0,0,0,0,0,0.972972973,0.162162162,185
David Kaczowka,0,0,1,0,0,0,0.112903226,0.591397849,186
Bryan Kauk,0,0,0,0,0,0,0.322580645,0.005376344,186
Colin Jacobs,0,0,0,0,0,0,0.478494624,0.02688172,186
Derek Reinhart,0,0,0,0,0,0,0.102150538,0.150537634,186
Ryan Thorpe,0,0,0,0,0,0,0.301075269,0.064516129,186
Sean Moir,0,0,0,0,0,0,0.139784946,0.010752688,186
Tyler Shybunka,0,0,0,0,0,0,0.602150538,0.005376344,186
Robin Gomez,0,1,3,0,0,0,0.331550802,0.43315508,187
Joey Hope,0.081395349,0,86,0,0,0,0.582887701,0.112299465,187
Antoine Corbin,0,0,0,0,0,0,0.363636364,0.037433155,187
Brendan Rouse,0,0,0,0,0,0,0.411764706,0.005347594,187
Clay Thoring,0,0,0,0,0,0,0.176470588,0.026737968,187
Drew Nichol,0,0,0,0,0,0,0.117647059,0.101604278,187
J.C. Lipon,0,0,0,0,0,0,0.529411765,0.14973262,187
Matt Tassone,0,0,0,0,0,0,0.636363636,0.106951872,187
Thomas Carr,0,0,0,0,0,0,0.331550802,0.101604278,187
Marcel Hossa,0.73655914,0,186,0.257383966,0,237,0.872340426,0,188
Duncan Siemens,0,0,3,0,0,0,0.489361702,0.10106383,188
Derek Schutz,0.15,0,20,0,0,0,0.792553191,0.127659574,188
Brady Brassart,0,0,0,0,0,0,0.563829787,0.031914894,188
Del Cowan,0,0,0,0,0,0,0.35106383,0.069148936,188
Devin Welsh,0,0,0,0,0,0,0.10106383,0.159574468,188
Kevin Undershute,0,0,0,0,0,0,0.526595745,0.037234043,188
Reid Petryk,0,0,0,0,0,0,0.340425532,0.053191489,188
Stepan Novotny,0,0,0,0,0,0,0.728723404,0,188
Clayton Stoner,0.282685512,0.102473498,283,0.137931034,0.120689655,116,0.492063492,0.063492063,189
Luke Schenn,0,0,0,0.241935484,0.061290323,310,0.35978836,0.08994709,189
Dustin Byfuglien,0.601626016,0.056910569,123,0.528255528,0.024570025,407,0.751322751,0.063492063,189
Garnet Exelby,0.177177177,0.159159159,333,0.12254902,0.073529412,408,0.222222222,0.08994709,189
Nick Schultz,0,0,0,0.173001311,0.009174312,763,0.603174603,0.037037037,189
Turner Elson,0,0,1,0,0,0,0.497354497,0.153439153,189
Chris Van Duynhoven,0,0,0,0,0,0,0.116402116,0.031746032,189
Dalton Thrower,0,0,0,0,0,0,0.428571429,0.111111111,189
Daulton Siwak,0,0,0,0,0,0,0.285714286,0.026455026,189
Graeme Craig,0,0,0,0,0,0,0.126984127,0.063492063,189
Myles Bell,0,0,0,0,0,0,0.555555556,0.037037037,189
Travis Eagles,0,0,0,0,0,0,0.365079365,0.105820106,189
Tyler Myers,0,0,0,0.497695853,0.004608295,217,0.405263158,0.052631579,190
Clarke MacArthur,0.969325153,0.024539877,163,0.531680441,0.008264463,363,1.178947368,0.042105263,190
Shea Weber,0.6,0.066666667,45,0.547916667,0.03125,480,0.478947368,0.094736842,190
James Martin,0.107142857,0.035714286,28,0,0,0,0.273684211,0.042105263,190
Gord Baldwin,0.205128205,0.047008547,234,0,0,0,0.321052632,0.084210526,190
Brett Bartman,0,0,0,0,0,0,0.178947368,0.042105263,190
Jeff Zorn,0,0,0,0,0,0,0.510526316,0.047368421,190
Matt Suderman,0,0,0,0,0,0,0.121052632,0.1,190
Ryan Stempfle,0,0,0,0,0,0,0.221052632,0.052631579,190
Tyler Hansen,0,0,0,0,0,0,0.221052632,0.057894737,190
Justin Falk,0.137566138,0.052910053,189,0.166666667,0.055555556,72,0.267015707,0.047120419,191
Joffrey Lupul,1.5,0,6,0.627184466,0.009708738,515,1.256544503,0.010471204,191
Colton Jobke,0,0,2,0,0,0,0.246073298,0.094240838,191
Dylan Wruck,0,0,0,0,0,0,0.895287958,0.015706806,191
Scott Scherger,0,0,0,0,0,0,0.094240838,0.020942408,191
Steve Shrum,0,0,0,0,0,0,0.895287958,0.010471204,191
Tyler Alos,0,0,0,0,0,0,0.277486911,0.010471204,191
David Musil,0,0,0,0,0,0,0.4375,0.041666667,192
Kenton Dulle,0,0,0,0,0,0,0.572916667,0.03125,192
Scott MacDonald,0,0,0,0,0,0,0.34375,0.020833333,192
Steve Regier,0.618055556,0.006944444,288,0.153846154,0,26,0.445595855,0.062176166,193
Garet Hunt,0.1,0.3,10,0,0,0,0.212435233,0.29015544,193
Austin Fyten,0,0,0,0,0,0,0.632124352,0.077720207,193
Brenden Dowd,0,0,0,0,0,0,0.606217617,0.03626943,193
Dale Hunt,0,0,0,0,0,0,0.248704663,0.020725389,193
Derek Endicott,0,0,0,0,0,0,0.222797927,0.056994819,193
Kale Kessy,0,0,0,0,0,0,0.357512953,0.196891192,193
Mitch Elliot,0,0,0,0,0,0,0.113989637,0.119170984,193
Jerred Smithson,0.357142857,0.007936508,252,0.165745856,0.012891344,543,0.494845361,0.072164948,194
Jay Bouwmeester,0.5,0,2,0.39748954,0.0013947,717,0.778350515,0,194
Riley Boychuk,0.076923077,0.038461538,26,0,0,0,0.427835052,0.103092784,194
Daniel Gibb,0,0,0,0,0,0,0.092783505,0.077319588,194
Scott Ramsay,0,0,0,0,0,0,0.097938144,0.170103093,194
Warren McCutcheon,0,0,0,0,0,0,0.510309278,0.051546392,194
Kris Foucault,0.450704225,0,71,0,0,1,0.569230769,0.025641026,195
Kyle Rossiter,0.126074499,0.068767908,349,0.090909091,0.090909091,11,0.38974359,0.158974359,195
Colton Gillies,0.360544218,0.054421769,147,0.125984252,0.007874016,127,0.466666667,0.035897436,195
Konstantin Panov,0.456375839,0,149,0,0,0,1.21025641,0.01025641,195
Anthony Bardaro,0,0,0,0,0,0,0.676923077,0.005128205,195
Brent Benson,0,0,0,0,0,0,0.512820513,0.030769231,195
Erik Fleming,0,0,0,0,0,0,0.117948718,0.01025641,195
Joe Suderman,0,0,0,0,0,0,0.107692308,0.117948718,195
Tyler Hlookoff,0,0,0,0,0,0,0.241025641,0.005128205,195
Dave Morisset,0.254098361,0.049180328,122,0,0.25,4,0.698979592,0.081632653,196
Ian Schultz,0.257142857,0.180952381,105,0,0,0,0.647959184,0.244897959,196
Darryl Yacboski,0,0,0,0,0,0,0.132653061,0.12244898,196
Dominick Favreau,0,0,0,0,0,0,0.198979592,0.040816327,196
Josh Garbutt,0,0,0,0,0,0,0.469387755,0.015306122,196
Konrad Brand,0,0,0,0,0,0,0.158163265,0.214285714,196
Spencer Main,0,0,0,0,0,0,0.295918367,0.045918367,196
Tanner Gillies,0,0,0,0,0,0,0.224489796,0.056122449,196
Quintin Laing,0.392686804,0.033386328,629,0.139240506,0.012658228,79,0.54822335,0.035532995,197
Matt Walker,0.216666667,0.129166667,240,0.095541401,0.171974522,314,0.294416244,0.187817259,197
Jared Smyth,0,0,2,0,0,0,0.390862944,0.096446701,197
Adam Huxley,0.043478261,0.52173913,23,0,0,0,0.147208122,0.436548223,197
Andy Smith,0,0,0,0,0,0,0.472081218,0,197
Brenden Walker,0,0,0,0,0,0,0.771573604,0.020304569,197
Corey Courchene,0,0,0,0,0,0,0.274111675,0.121827411,197
Dallas Flaman,0,0,0,0,0,0,0.461928934,0.035532995,197
Dylan Bredo,0,0,0,0,0,0,0.258883249,0.055837563,197
Jason Hegberg,0,0,0,0,0,0,1.172588832,0.030456853,197
Jay Batchelor,0,0,0,0,0,0,0.126903553,0.030456853,197
Tomas Mojzis,0.402654867,0.013274336,226,0.176470588,0,17,0.717171717,0.025252525,198
