Player,AHL.Season,AHL.GP,AHL.Goals,AHL.Assists,AHL.Fights,AHL.Points,NHL.Season,NHL.GP,NHL.Goals,NHL.Assists,NHL.Fights,NHL.Points,WHL.Seasons,WHL.GP,WHL.Goals,WHL.Assists,WHL.Fights,WHL.Points
Zach Boychuk,7,335,129,158,2,287,7,127,12,18,0,30,4,237,110,161,1,271
Brett Carson,7,321,25,102,0,127,5,90,2,11,0,13,5,268,28,82,1,110
Steve McCarthy,7,193,14,53,1,67,8,302,17,38,4,55,3,152,43,85,9,128
Garnet Exelby,7,457,21,65,61,86,7,408,7,43,30,50,3,189,13,29,17,42
Ben Ondrus,7,394,65,72,36,137,4,52,0,2,10,2,5,316,94,113,18,207
Jeremy Williams,7,328,138,124,4,262,5,32,9,2,0,11,4,174,99,108,1,207
Kyle Wanvig,7,394,114,131,49,245,5,75,6,9,4,15,4,266,107,98,29,205
Matt Kassian,7,231,10,12,69,22,4,76,4,1,23,5,4,245,17,19,66,36
Steve MacIntyre,7,181,3,5,32,8,5,91,2,2,18,4,3,123,3,1,48,4
Zach Hamill,7,349,66,126,1,192,3,20,0,4,0,4,5,250,87,175,1,262
Brett McLean,7,351,95,140,0,235,6,385,56,106,2,162,2,119,89,100,1,189
Steven Goertzen,7,382,46,58,34,104,4,68,2,2,12,4,3,206,33,46,18,79
Colin McDonald,7,449,110,127,17,237,5,140,18,26,3,44,2,3,0,0,0,0
Stefan Meyer,7,381,86,79,29,165,2,20,0,2,3,2,5,282,123,123,16,246
Brad Leeb,7,469,173,140,7,313,3,5,0,0,0,0,2,127,55,70,10,125
Jason MacDonald,7,364,59,68,92,127,1,4,0,0,1,0,6,184,14,18,2,32
Robert Schnabel,7,341,13,36,46,49,3,22,0,3,2,3,2,62,1,22,9,23
Cam Paddock,7,284,37,37,21,74,1,16,2,1,0,3,5,323,107,98,27,205
David Koci,7,207,2,13,78,15,5,142,3,1,43,4,1,70,2,7,7,9
Grant McNeill,7,124,5,3,63,8,1,3,0,0,1,0,4,260,11,21,61,32
Rick Berry,7,383,25,74,36,99,4,197,2,13,22,15,1,59,9,21,6,30
Jay Henderson,7,387,86,102,71,188,3,33,1,3,3,4,1,72,49,45,10,94
Zenith Komarniski,7,415,56,104,21,160,3,21,1,1,0,2,1,46,7,24,5,31
Jame Pollock,7,330,69,128,2,197,1,9,0,0,0,0,2,125,21,68,0,89
Johnathan Aitken,7,410,8,42,44,50,2,44,0,1,8,1,1,69,9,25,11,34
Riley Armstrong,7,334,78,70,4,148,1,2,0,0,0,0,2,134,24,36,2,60
Mike Green,8,342,88,149,1,237,11,599,114,250,2,364,8,478,130,255,11,385
Derek Meech,8,377,36,129,0,165,6,144,4,13,1,17,5,263,27,70,4,97
Mike Wilson,8,290,22,49,14,71,6,201,10,24,5,34,5,175,19,79,1,98
Brett Sutter,8,538,91,139,27,230,7,60,2,8,4,10,4,254,58,80,12,138
Matt Walker,8,240,9,43,31,52,9,314,4,26,54,30,3,197,9,49,37,58
Frazer McLaren,8,245,13,18,67,31,5,102,4,7,36,11,5,318,56,47,68,103
Eric Godard,8,297,11,13,98,24,8,335,6,12,97,18,3,133,5,10,79,15
Brendan Mikkelson,8,329,35,92,8,127,5,131,1,9,3,10,4,226,16,54,9,70
Troy Bodie,8,381,56,54,75,110,5,159,9,12,26,21,4,250,64,65,38,129
Jamie Lundmark,8,298,89,133,10,222,6,295,40,59,9,99,3,159,96,120,9,216
Nick Drazenovic,8,469,121,194,4,315,3,12,0,0,0,0,5,281,77,137,3,214
Tyler Bouck,8,415,55,113,26,168,5,91,4,8,9,12,3,178,63,84,29,147
Brad Moran,8,523,151,270,1,421,3,8,1,2,0,3,3,215,161,179,1,340
Shane Willis,8,317,115,136,1,251,5,174,31,43,0,74,1,64,58,54,0,112
Joey Tetarenko,8,415,24,64,113,88,4,73,4,1,19,5,1,49,2,12,14,14
Mike Siklenka,8,229,20,33,32,53,2,2,0,0,0,0,2,69,19,13,5,32
Kirby Law,8,540,198,232,37,430,3,9,0,1,0,1,1,49,34,44,10,78
Martin Sonnenberg,8,476,126,150,7,276,3,63,2,3,1,5,1,72,40,52,2,92
Jeremy Yablonski,8,280,7,15,97,22,1,1,0,0,1,0,2,74,4,1,28,5
Mike Brown,9,457,55,67,132,122,12,383,18,16,106,34,7,312,66,63,71,129
Ryan Craig,9,500,125,152,32,277,8,198,32,31,14,63,6,302,137,131,15,268
Blair Jones,9,416,103,169,21,272,8,132,7,10,3,17,4,249,61,112,9,173
Nathan Smith,9,471,89,123,22,212,5,26,0,0,2,0,6,240,76,137,16,213
Garth Murray,9,482,61,87,82,148,5,116,8,2,19,10,5,266,78,77,62,155
Adam Cracknell,9,415,97,123,9,220,5,82,6,11,0,17,4,283,94,119,14,213
Ryan Hamilton,9,494,154,132,20,286,4,30,1,4,0,5,2,15,0,1,0,1
Zack Fitzgerald,9,447,11,38,117,49,1,1,0,0,0,0,4,248,22,54,46,76
Bryce Lampman,9,365,26,72,0,98,3,10,0,0,0,0,1,29,1,17,0,18
Brandon Segal,10,593,159,158,38,317,5,103,11,11,9,22,5,286,110,96,21,206
Dane Byers,10,564,128,177,95,305,3,14,1,0,4,1,4,236,49,50,39,99
Lawrence Nycholat,10,557,73,260,31,333,4,50,2,7,0,9,3,213,51,137,18,188
Triston Grant,10,633,73,80,139,153,2,11,0,1,3,1,5,291,52,35,99,87
Jeremy Reich,10,647,116,131,132,247,3,99,2,4,21,6,3,204,86,117,37,203
Josh Green,10,368,102,146,7,248,9,341,36,40,8,76,1,31,35,19,2,54
Mitch Fritz,11,322,11,21,85,32,1,20,0,0,6,0,2,110,13,2,51,15
Warren Peters,12,635,119,104,29,223,4,96,4,4,4,8,6,330,111,107,15,218
Tyler Sloan,12,435,15,50,16,65,3,99,4,13,1,17,2,140,8,57,9,65
Dean Arsene,12,618,15,80,79,95,1,13,0,0,3,0,4,276,8,40,36,48
Jason Jaffray,13,560,179,270,24,449,4,49,4,7,5,11,5,277,107,128,18,235
Quintin Laing,13,692,92,171,22,263,4,79,3,8,1,11,3,197,44,64,7,108
Nolan Yonkman,14,725,21,79,75,100,7,76,1,9,7,10,4,255,12,26,21,38
Trent Whitfield,15,808,256,344,4,600,8,194,11,18,6,29,1,65,38,44,1,82
Boyd Kane,15,952,221,302,23,523,5,31,0,3,3,3,1,68,48,45,5,93
Brent Seabrook,0,0,0,0,0,0,10,763,71,247,19,318,5,264,39,137,11,176
Scott Hartnell,0,0,0,0,0,0,14,1030,278,319,67,597,3,128,37,90,14,127
Dion Phaneuf,0,0,0,0,0,0,10,750,117,283,44,400,4,255,64,82,42,146
Nick Schultz,0,0,0,0,0,0,13,960,29,132,8,161,3,189,33,81,7,114
Brad Stuart,0,0,0,0,0,0,15,1050,80,255,13,335,2,131,41,86,1,127
Brenden Morrow,0,0,0,0,0,0,15,991,265,310,60,575,2,129,75,96,15,171
Scott Gomez,0,0,0,0,0,0,15,1045,180,567,8,747,2,103,42,115,2,157
Milan Lucic,0,0,0,0,0,0,8,566,139,203,58,342,3,133,39,48,39,87
Tyler Myers,0,0,0,0,0,0,6,389,48,118,5,166,4,190,17,60,10,77
Luke Schenn,0,0,0,0,0,0,7,494,24,88,30,112,3,189,12,56,17,68
Evander Kane,0,0,0,0,0,0,6,361,109,113,16,222,3,134,73,65,7,138
Marian Hossa,0,0,0,0,0,0,17,1172,486,570,4,1056,1,53,45,40,1,85
Jamie Benn,0,0,0,0,0,0,6,426,151,208,13,359,2,106,79,68,7,147
Andrej Meszaros,0,0,0,0,0,0,10,645,63,175,4,238,1,59,11,30,2,41
Mike Comrie,0,0,0,0,0,0,10,589,168,197,13,365,1,37,39,40,2,79
Peter Mueller,0,0,0,0,0,0,5,297,63,97,0,160,2,103,47,89,0,136
Martin Hanzal,0,0,0,0,0,0,8,493,88,158,8,246,1,60,26,59,2,85
Ryan Murray,0,0,0,0,0,0,2,78,5,19,0,24,3,168,20,84,3,104
Curtis Lazar,0,0,0,0,0,0,1,67,6,9,0,15,2,69,20,12,2,32
Karel Betik,0,0,0,0,0,0,1,3,0,2,0,2,1,61,5,25,1,30
